id	ten	gia	review_count	phanloai	thuonghieu	sku	mota	url_image
73588127	Bộ Lau Nhà Kitimop-S1 Thông Minh 2 Ngăn Tự Vắt, Hàng Chính Hãng - Tặng Thêm 1 Giẻ Sơ Cua	199000	154	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Dụng cụ lau nhà/Dụng cụ lau nhà khác	Kitimop	1639792918621		https://salt.tikicdn.com/cache/280x280/ts/product/aa/c8/c3/98fd4842ac67e8ae219d96d02bac22c2.jpg
52596613	CHIẾU ĐIỀU HÒA CAO SU NON LATEX 2020	385000	0	Nhà Cửa - Đời Sống/Đồ dùng phòng ngủ/Phụ kiện phòng ngủ/Chiếu	OEM	4271615457305		https://salt.tikicdn.com/cache/280x280/ts/product/0a/f7/2a/c7ef10f373e62195418e613a22f4d44a.jpg
70357713	Bàn Làm Việc Phong Cách Bắc Âu Thương Hiệu IGEA (Không Bao Gồm Ghế)	365000	191	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng học, làm việc/Bàn làm việc	IGA	6265604513149		https://salt.tikicdn.com/cache/280x280/ts/product/68/d3/78/b358d2d00001f4207f11090eb247c9d8.png
52731281	Kéo Thép Đa Năng Nhật Bản, Size Lớn, Chất Liệu Thép Cao Cấp Không Gỉ	55000	1	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dao, kéo và phụ kiện/Kéo các loại	OEM	9039104313649		https://salt.tikicdn.com/cache/280x280/ts/product/d2/b6/ce/3d48aba588df23fb634fa990ceef41c9.jpg
35422376	Ô Dù 4 Lớp Che Nắng, Đi Mưa Chống Tia UV	53000	4	Nhà Cửa - Đời Sống/Ngoài trời & sân vườn/Áo mưa, ô dù và phụ kiện đi mưa	OEM	9239925876303		https://salt.tikicdn.com/cache/280x280/ts/product/c1/71/96/03c9f5d5fbabe55a43f5404c3dfb2cad.jpg
35905855	Cây Lau Nhà Pva Lock&Lock ETM481 - PP, 33 x 6 x 132 cm - Màu Trắng	257000	23	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Dụng cụ lau nhà/Chổi, cây lau nhà	Lock&Lock	9504097226127		https://salt.tikicdn.com/cache/280x280/ts/product/12/1c/78/570a5aeeee471ead4c82797488a8a423.png
787867	Bộ Túi Hộp Cơm Thủy Tinh Chịu Nhiệt 4EA Lock&Lock LLG821BS3 (380ml / Hộp) - Xanh Dương	349000	1	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ chứa đựng thực phẩm/Hộp đựng thực phẩm	Lock&Lock	1705844010626		https://salt.tikicdn.com/cache/280x280/ts/product/34/15/ba/802198837729132a889c49c5e0bbb77f.jpg
1011168	Bình Giữ Nhiệt One Hand Lock&Lock LHC4028 (400ml)	377000	739	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	Lock&Lock	4451847504941		https://salt.tikicdn.com/cache/280x280/ts/product/8a/dc/2e/1f19c571da79839160acb8c30d72714e.jpg
75340681	Hộp Đựng Đồ Đa Năng – Túi Vải Đựng Quần Áo Chăn Màn Phong Cách Thụy Điển Sang Trọng, Lịch Sự – Hàng Chính Hãng miDoctor	93000	138	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng ngủ/Tủ	miDoctor	9492807829235		https://salt.tikicdn.com/cache/280x280/ts/product/da/a4/50/d922c3a75a494d0dcbeddfc66aaf3356.JPG
75303322	Khay kệ đựng đồ mỹ phẩm để bàn nhiều ngăn tiện lợi	68000	50	Nhà Cửa - Đời Sống/Nội thất/Nội thất phòng ngủ/Tủ	"	OEM"	5523282880412		https://salt.tikicdn.com/cache/280x280/ts/product/e1/57/56/07da835acd806cb7156e5578b917ce03.jpg
